ListSizes,TestResult
0,0
1000,1
2000,2
3000,2
4000,3
5000,3
6000,4
7000,5
8000,6
9000,6
10000,7
11000,8
12000,9
13000,9
14000,9
15000,10
16000,11
17000,12
18000,12
19000,13
20000,14
21000,14
22000,15
23000,16
24000,16
25000,16
26000,17
27000,18
28000,18
29000,19
30000,19
31000,20
32000,20
33000,21
34000,22
35000,23
36000,23
37000,24
38000,24
39000,24
40000,25
41000,26
42000,27
43000,28
44000,28
45000,29
46000,29
47000,30
48000,30
49000,32
50000,31
51000,32
52000,34
53000,34
54000,35
55000,35
56000,36
57000,37
58000,37
59000,38
60000,39
61000,40
62000,39
63000,40
64000,41
65000,42
66000,42
67000,42
68000,43
69000,44
70000,44
71000,47
72000,46
73000,47
74000,48
75000,49
76000,49
77000,49
78000,51
79000,50
80000,53
81000,52
82000,53
83000,52
84000,54
85000,55
86000,57
87000,55
88000,57
89000,57
90000,58
91000,58
92000,58
93000,59
94000,60
95000,62
96000,64
97000,63
98000,64
99000,62
100000,64
101000,64
102000,66
103000,65
104000,67
105000,67
106000,68
107000,68
108000,70
109000,70
110000,70
111000,72
112000,72
113000,72
114000,74
115000,73
116000,75
117000,75
118000,76
119000,76
120000,76
121000,76
122000,78
123000,78
124000,79
125000,82
126000,82
127000,80
128000,85
129000,82
130000,83
131000,83
132000,87
133000,85
134000,84
135000,87
136000,88
137000,88
138000,90
139000,91
140000,90
141000,91
142000,91
143000,92
144000,93
145000,95
146000,94
147000,93
148000,96
149000,97
150000,98
151000,99
152000,98
153000,101
154000,101
155000,101
156000,102
157000,102
158000,100
159000,105
160000,104
161000,104
162000,103
163000,104
164000,105
165000,106
166000,109
167000,109
168000,109
169000,110
170000,111
171000,109
172000,113
173000,115
174000,118
175000,115
176000,113
177000,117
178000,116
179000,115
180000,118
181000,118
182000,118
183000,121
184000,120
185000,119
186000,120
187000,124
188000,120
189000,121
190000,122
191000,124
192000,122
193000,125
194000,127
195000,126
196000,127
197000,123
198000,127
199000,127
