K,TestResult
0,0
1000,151
2000,165
3000,173
4000,177
5000,177
6000,180
7000,187
8000,189
9000,191
10000,191
11000,194
12000,197
13000,194
14000,202
15000,207
16000,203
17000,198
18000,211
19000,206
20000,198
21000,203
22000,204
23000,210
24000,213
25000,224
26000,217
27000,209
28000,212
29000,212
30000,210
31000,215
32000,212
33000,219
34000,225
35000,223
36000,221
37000,221
38000,226
39000,219
40000,219
41000,224
42000,248
43000,229
44000,232
45000,229
46000,231
47000,231
48000,244
49000,236
50000,233
51000,234
52000,236
53000,235
54000,235
55000,239
56000,241
57000,255
58000,241
59000,239
60000,250
61000,233
62000,235
63000,240
64000,236
65000,237
66000,259
67000,247
68000,244
69000,248
70000,258
71000,251
72000,261
73000,250
74000,259
75000,251
76000,251
77000,253
78000,257
79000,261
80000,267
81000,258
82000,269
83000,262
84000,260
85000,260
86000,280
87000,266
88000,265
89000,263
90000,276
91000,285
92000,293
93000,264
94000,270
95000,269
96000,272
97000,270
98000,265
99000,286
100000,268
101000,281
102000,270
103000,277
104000,265
105000,272
106000,277
107000,276
108000,273
109000,279
110000,276
111000,274
112000,277
113000,288
114000,288
115000,284
116000,290
117000,277
118000,277
119000,295
120000,281
121000,291
122000,300
123000,298
124000,284
125000,288
126000,285
127000,300
128000,285
129000,298
130000,304
131000,286
132000,291
133000,285
134000,294
135000,292
136000,306
137000,287
138000,301
139000,293
140000,286
141000,302
142000,303
143000,302
144000,297
145000,317
146000,302
147000,304
148000,302
149000,298
150000,303
151000,301
152000,300
153000,305
154000,298
155000,316
156000,300
157000,303
158000,305
159000,315
160000,306
161000,299
162000,298
163000,302
164000,310
165000,304
166000,308
167000,323
168000,307
169000,304
170000,300
171000,298
172000,313
173000,306
174000,310
175000,317
176000,310
177000,312
178000,313
179000,322
180000,311
181000,311
182000,315
183000,316
184000,316
185000,318
186000,313
187000,313
188000,311
189000,328
190000,340
191000,315
192000,316
193000,314
194000,310
195000,324
196000,318
197000,321
198000,310
199000,317
