DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,0
2000,1,1,1
3000,2,2,2
4000,3,2,3
5000,4,3,3
6000,9,6,6
7000,10,6,6
8000,13,8,8
9000,16,9,7
10000,20,10,7
11000,23,12,8
12000,37,16,14
13000,42,18,15
14000,48,22,15
15000,54,22,16
16000,62,22,16
17000,71,25,14
18000,82,26,17
19000,86,29,17
20000,94,28,17
21000,115,34,17
22000,134,35,17
23000,189,53,30
24000,204,58,30
25000,220,60,31
26000,230,63,33
27000,256,67,34
28000,291,71,33
29000,303,73,31
30000,345,83,34
31000,358,90,33
32000,351,89,36
33000,403,91,35
34000,461,98,33
35000,457,104,36
36000,533,107,36
37000,516,111,37
38000,510,117,38
39000,581,136,38
40000,646,135,34
41000,592,143,41
42000,714,150,37
43000,800,148,41
44000,612,164,36
45000,1141,211,67
46000,1190,236,68
47000,942,225,66
48000,1119,249,64
49000,1083,251,73
50000,1141,246,70
51000,1261,270,72
52000,1271,271,62
53000,1322,289,70
54000,1439,298,78
55000,1471,318,72
56000,1525,298,71
57000,1716,316,82
58000,1554,313,69
59000,1676,320,66
60000,1848,323,70
61000,1955,363,69
62000,1972,376,73
63000,1829,374,76
64000,1815,404,78
65000,1757,364,71
66000,1802,414,72
67000,1998,395,75
68000,2097,441,80
69000,2085,477,83
70000,2244,480,80
71000,2409,467,82
72000,2298,496,81
73000,2369,449,75
74000,2385,526,77
75000,2412,478,80
76000,2426,542,80
77000,2567,540,82
78000,2448,633,88
79000,2682,599,77
